Заказчик:,Элемент-Технологии
Изделие:,Плата силовая
Партия:,1000

Стоимость подготовки производства
,Стоимость
Трафареты,60000 руб
Проверка документации,1500 руб
Создание EBOM,9060 руб
Итого,70560 руб

Стоимость производства
Время на 1 ПУ,Время на партию,Стоимость 1 ПУ,Стоимость на партию
"Автоматический поверхностный монтаж SMT Pri, переналадка",8 c,2 ч,28 руб,27470 руб
Автоматический поверхностный монтаж SMT Pri,11 c,3 ч,46 руб,45969 руб
"Автоматический поверхностный монтаж SMT Sec, переналадка",11 c,3 ч,42 руб,41205 руб
Автоматический поверхностный монтаж SMT Sec,8 c,2 ч,31 руб,30646 руб
Ремонт на поверхностном монтаже,51 с,14 ч,15 руб,14322 руб
Контроль на поверхностном монтаже,8 с,2 ч,3 руб,2070 руб
"Селективная пайка THT Pri, переналадка",4 c,1 ч,3 руб,2638 руб
Селективная пайка THT Pri,47 c,13 ч,63 руб,62891 руб
"Селективная пайка THT Sec, переналадка",4 c,1 ч,3 руб,2638 руб
Селективная пайка THT Sec,18 c,5 ч,22 руб,21563 руб
Ремонт на cелективной пайке THT,18 с,5 ч,6 руб,5115 руб
Контроль на cелективной пайке THT,4 с,1 ч,2 руб,1035 руб
Ручной монтаж,62 c,17 ч,18 руб,17391 руб
Тестирование,8 с,2 ч,3 руб,2070 руб
Разделение,27 c,9 ч,14 руб,13572 руб
Cебестоимость,289 с,80 ч,299 руб,290595 руб
Cебестоимость с подготовкой производства,289 с,80 ч,369 руб,361155 руб
Итого с подготовкой производства без НДС,289 с,80 ч,479 руб,469501 руб
Итого с подготовкой производства,289 с,80 ч,574 руб,563401 руб
