Наименование,Значение
Поправочный коэффициент,1.1
"Время на пайку DDR, с",30.0
"Время на пайку PCI, с",15.0
"Время на переналадку, с",3600.0
"Время на прогрев, с",60.0
"Время на пайку THT, с",5
Снижение за повторное изготовление,0.25
"Ремонт при первом производстве, %",15.0
"Ремонт при повторном производстве, %",7.5
"Время на несложный ремонт, с",300.0
"Время на контроль ремонта, с",45.0
"Время на пайку THT (многорядные), с",12.0
