Наименование,Значение
"Укороченная программа, мин",30.0
"Полная программа, мин",60.0
"Длина рамки отмывки, мм",710.0
"Ширина рамки отмывки, мм",600.0
Поправочный коэффициент,1.1
"Контроль одного цикла отмывки, с",60
