Наименование,Значение
"Время окунания, с",45
Поправочный коэффициент окунания, 1
"Скорость кисти, мм/с",15
"Ширина кисти, мм",20
Поправочный коэффициент кисти, 1
"Доп работы для кисти, с",20
"Скорость краскопульта, мм/с",100
"Ширина краскопульта, мм",100
Поправочный коэффициент краскопульта, 1
"Контроль лакировки 1 ПУ, с", 20
