Наименование,Значение
"Время на приёмку, с", 240
"Время на входной контроль, с", 420
"Время на выходной контроль, с", 300
"Время на отгрузку, с", 120
"Минимальное время на выходной контроль, с", 1800
"Доп. время для россыпи, с" 180
