Наименование,Значение
Поправочный коэффициент,1
"Время на пайку DDR, с",60
"Время на пайку PCI, с",30
"Время на переналадку, с",3600
"Время на прогрев, с",60
"Время на пайку THT, с",1
Снижение за повторное изготовление,0.25
