Наименование,Значение
"Скорость скрайбирования, мм/с",15.0
"Время на уборку перемычки, с",8.0
"Скорость SAR, мм/с",6.0
Поправочный коэффициент скрайбирования,1.1
Поправочный коэффициент перемычек,1.3
Поправочный коэффициент SAR,1.3
