Наименование,Значение
Поправочный коэффициент,1
"Минимальное время на переналадку, с",1800.0
"Время на переналадку, 1ого наименования, с",120.0
"Доп время переналадки оборудования, с",900.0
Ремонт при первом производстве,0.1
Ремонт при повторном производстве,0.05
"Время на несложный ремонт, с",480.0
"Время на контроль ремонта, с",45.0
