Наименование,Значение
"Скорость заметания соплом, мм^2/с",400.0
Поправочный коэффициент,1
Снижение за повторное изготовление,0.25
"Время на наладку, с",3600.0
"Ремонт при первом производстве, %",30
"Ремонт при повторном производстве, %",15
"Время на несложный ремонт, с",600
"Время на контроль ремонта, с",60
